date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:15	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Apr%202026%2013:13:14%20GMT	https://winsfolio.net/robots.txt		(from )
18:43:15	76539/76539	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2012:57:06%20GMT	https://winsfolio.net/html/foodio/	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/index.html	(from )
18:43:16	1686/1686	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Mar%202023%2013:33:20%20GMT	https://winsfolio.net/html/foodio/assets/img/logo-icon.png	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/img/logo-icon.png	(from https://winsfolio.net/html/foodio/)
18:43:16	163873/163873	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Mar%202023%2010:42:02%20GMT	https://winsfolio.net/html/foodio/assets/css/bootstrap.min.css	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/css/bootstrap.min.css	(from https://winsfolio.net/html/foodio/)
18:43:16	3351/3351	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Mar%202023%2010:41:10%20GMT	https://winsfolio.net/html/foodio/assets/css/owl.carousel.min.css	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/css/owl.carousel.min.css	(from https://winsfolio.net/html/foodio/)
18:43:17	1013/1013	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Mar%202023%2010:42:18%20GMT	https://winsfolio.net/html/foodio/assets/css/owl.theme.default.min.css	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/css/owl.theme.default.min.css	(from https://winsfolio.net/html/foodio/)
18:43:17	12795/12795	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Mar%202023%2010:41:06%20GMT	https://winsfolio.net/html/foodio/assets/css/jquery.fancybox.min.css	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/css/jquery.fancybox.min.css	(from https://winsfolio.net/html/foodio/)
18:43:18	124583/124583	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Mar%202023%2010:41:08%20GMT	https://winsfolio.net/html/foodio/assets/css/fontawesome.min.css	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/css/fontawesome.min.css	(from https://winsfolio.net/html/foodio/)
18:43:18	85759/85759	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Mar%202023%2012:57:36%20GMT	https://winsfolio.net/html/foodio/assets/css/style.css	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/css/style.css	(from https://winsfolio.net/html/foodio/)
18:43:18	33979/33979	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Mar%202023%2020:04:56%20GMT	https://winsfolio.net/html/foodio/assets/css/responsive.css	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/css/responsive.css	(from https://winsfolio.net/html/foodio/)
18:43:18	2656/2656	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Mar%202023%2012:57:40%20GMT	https://winsfolio.net/html/foodio/assets/css/color.css	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/css/color.css	(from https://winsfolio.net/html/foodio/)
18:43:19	125/125	---M--	200	added ('OK')	text/javascript	date:Thu,%2016%20Mar%202023%2010:27:44%20GMT	https://winsfolio.net/html/foodio/assets/js/preloader.js	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/js/preloader.js	(from https://winsfolio.net/html/foodio/)
18:43:19	89501/89501	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2006%20Mar%202023%2013:34:54%20GMT	https://winsfolio.net/html/foodio/assets/js/jquery-3.6.0.min.js	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/assets/js/jquery-3.6.0.min.js	(from https://winsfolio.net/html/foodio/)
18:43:19	19588/19588	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2012:56:30%20GMT	https://winsfolio.net/html/foodio/login.html	E:/MInd_mesh_wesbite/resturant_1/foodio/winsfolio.net/html/foodio/login.html	(from https://winsfolio.net/html/foodio/)
